StationUID,StationID,StationName,StationClass,LocationCity,LocationTown,LocationTownCode,PositionLon,PositionLat
TRA-0900,900,基隆,1,基隆市,仁愛區,10017040,121.74013,25.13401
TRA-0910,910,三坑,4,基隆市,仁愛區,10017040,121.74202,25.12305
TRA-0920,920,八堵,2,基隆市,暖暖區,10017030,121.72898,25.10843
TRA-0930,930,七堵,1,基隆市,七堵區,10017020,121.71415,25.09294
TRA-0940,940,百福,4,基隆市,七堵區,10017020,121.69373,25.07803
TRA-0950,950,五堵,4,新北市,汐止區,65000110,121.66764,25.07784
TRA-0960,960,汐止,2,新北市,汐止區,65000110,121.66244,25.06894
TRA-0970,970,汐科,4,新北市,汐止區,65000110,121.64669,25.06241
TRA-0980,980,南港,1,臺北市,南港區,63000090,121.60706,25.05348
TRA-0990,990,松山,1,臺北市,松山區,63000010,121.57807,25.04936
TRA-1000,1000,臺北,0,臺北市,中正區,63000050,121.51784,25.04771
TRA-1001,1001,臺北-環島,4,臺北市,中正區,63000050,121.51793,25.04811
TRA-1010,1010,萬華,1,臺北市,萬華區,63000070,121.49984,25.03348
TRA-1020,1020,板橋,1,新北市,板橋區,65000010,121.46352,25.01469
TRA-1030,1030,浮洲,4,新北市,板橋區,65000010,121.44477,25.00419
TRA-1040,1040,樹林,1,新北市,樹林區,65000070,121.42481,24.99121
TRA-1050,1050,南樹林,4,新北市,樹林區,65000070,121.40891,24.98034
TRA-1060,1060,山佳,3,新北市,樹林區,65000070,121.39273,24.97233
TRA-1070,1070,鶯歌,2,新北市,鶯歌區,65000080,121.35535,24.95432
TRA-1080,1080,桃園,1,桃園市,桃園區,68000010,121.31399,24.98941
TRA-1090,1090,內壢,3,桃園市,中壢區,68000020,121.25814,24.97287
TRA-1100,1100,中壢,1,桃園市,中壢區,68000020,121.22571,24.95382
TRA-1110,1110,埔心,3,桃園市,楊梅區,68000040,121.18366,24.91945
TRA-1120,1120,楊梅,3,桃園市,楊梅區,68000040,121.14634,24.91391
TRA-1130,1130,富岡,3,桃園市,楊梅區,68000040,121.08313,24.93462
TRA-1140,1140,新富,5,桃園市,楊梅區,68000040,121.06759,24.93107
TRA-1150,1150,北湖,4,新竹縣,湖口鄉,10004050,121.05586,24.92191
TRA-1160,1160,湖口,3,新竹縣,湖口鄉,10004050,121.04412,24.90292
TRA-1170,1170,新豐,3,新竹縣,新豐鄉,10004060,120.99654,24.86961
TRA-1180,1180,竹北,3,新竹縣,竹北市,10004010,121.00936,24.83892
TRA-1190,1190,北新竹,4,新竹市,東區,10018010,120.98385,24.80876
TRA-1191,1191,千甲,4,新竹市,東區,10018010,121.00301,24.80669
TRA-1192,1192,新莊,4,新竹市,東區,10018010,121.02182,24.78819
TRA-1193,1193,竹中,4,新竹縣,竹東鎮,10004020,121.03117,24.78125
TRA-1194,1194,六家,4,新竹縣,竹北市,10004010,121.03921,24.80751
TRA-1201,1201,上員,5,新竹縣,竹東鎮,10004020,121.05554,24.77797
TRA-1202,1202,榮華,5,新竹縣,竹東鎮,10004020,121.08296,24.74851
TRA-1203,1203,竹東,2,新竹縣,竹東鎮,10004020,121.09465,24.73811
TRA-1204,1204,橫山,5,新竹縣,橫山鄉,10004080,121.11657,24.72051
TRA-1205,1205,九讚頭,4,新竹縣,橫山鄉,10004080,121.13621,24.72068
TRA-1206,1206,合興,5,新竹縣,橫山鄉,10004080,121.15434,24.71649
TRA-1207,1207,富貴,5,新竹縣,橫山鄉,10004080,121.16729,24.71553
TRA-1208,1208,內灣,4,新竹縣,橫山鄉,10004080,121.18247,24.70526
TRA-1210,1210,新竹,1,新竹市,東區,10018010,120.97156,24.80169
TRA-1220,1220,三姓橋,4,新竹市,香山區,10018030,120.92838,24.78723
TRA-1230,1230,香山,4,新竹市,香山區,10018030,120.91391,24.76321
TRA-1240,1240,崎頂,5,苗栗縣,竹南鎮,10005040,120.87213,24.72281
TRA-1250,1250,竹南,1,苗栗縣,竹南鎮,10005040,120.88041,24.68663
