"houseid","transaction","address","land_area","date","state","use","building_area","room","hall","bath","management","total_price","unit_price","balcony_area","only_4th_floor","with_1st_floor"
"HOUSE_001","房地(土地+建物)","新北市永和區雙和街１７巷１８號三樓",43.26,1100902,"公寓(5樓含以下無電梯)","住家用",148.76,4,2,2,0,22000000,147889,16.7,0,0
"HOUSE_002","房地(土地+建物)","新北市中和區連城路１３９巷５４號二樓",41.18,1100906,"公寓(5樓含以下無電梯)","住家用",77.4,3,1,1,0,7400000,95607,0,0,0
"HOUSE_003","房地(土地+建物)","新北市中和區秀朗路三段７８巷２弄３號三樓",46.46,1100903,"公寓(5樓含以下無電梯)","住家用",117.58,4,2,1,0,10800000,91852,0,0,0
"HOUSE_004","房地(土地+建物)","新北市永和區中正路２８３巷７０弄５號",26.47,1100907,"公寓(5樓含以下無電梯)","住家用",91.47,3,2,2,0,14000000,153056,14.98,0,1
"HOUSE_005","房地(土地+建物)","新北市永和區永平路２１８巷１１號三樓",24.02,1100904,"華廈(10層含以下有電梯)","住家用",140.81,4,2,2,1,19200000,136354,12.95,0,0
"HOUSE_006","房地(土地+建物)","新北市中和區保健路１０巷１弄１０號二樓",18.48,1100902,"公寓(5樓含以下無電梯)","住家用",53.63,3,2,1,0,6700000,124930,8.33,0,0
"HOUSE_007","房地(土地+建物)","新北市中和區忠孝街１０４號四樓",26.8,1100901,"公寓(5樓含以下無電梯)","住家用",115.02,5,0,5,0,11750000,102156,8.89,1,0
"HOUSE_008","房地(土地+建物)","新北市中和區圓通路３６９巷６號四樓",25.37,1100905,"公寓(5樓含以下無電梯)","住家用",112.49,3,2,2,0,9700000,86230,11.89,1,0
"HOUSE_009","房地(土地+建物)","新北市中和區景平路２７８巷１６弄３２號三樓",30.08,1100901,"公寓(5樓含以下無電梯)","住家用",90.24,3,2,1,0,10600000,117465,0,0,0
"HOUSE_010","房地(土地+建物)","新北市永和區中山路一段２６號四樓之二",2.42,1100911,"住宅大樓(11層含以上有電梯)","商業用",29.42,1,1,1,1,2200000,74779,2.81,1,0
"HOUSE_011","房地(土地+建物)","新北市中和區景平路２９５號二樓",14.23,1100905,"住宅大樓(11層含以上有電梯)","住家用",114.39,2,2,2,1,15300000,133753,11.47,0,0
"HOUSE_012","房地(土地+建物)","新北市中和區景平路７１之７號十八樓之一",2.92,1100904,"住宅大樓(11層含以上有電梯)","住家用",35.75,1,1,1,1,6400000,179021,0,0,0
"HOUSE_013","房地(土地+建物)","新北市中和區景新街３９９巷１０弄２號五樓",35.3,1100907,"公寓(5樓含以下無電梯)","住家用",116,3,2,2,0,12000000,103448,0,0,0
"HOUSE_014","房地(土地+建物)","新北市中和區員山路４６６巷１７弄１７號二樓",33.11,1100902,"華廈(10層含以下有電梯)","工商用",163.27,3,2,3,0,13300000,81460,16.63,0,0
"HOUSE_015","房地(土地+建物)","新北市永和區中山路一段１９號九樓",16.46,1100911,"華廈(10層含以下有電梯)","辦公用",130.19,0,0,0,1,24000000,184346,9.42,0,0
"HOUSE_016","房地(土地+建物)","新北市中和區忠孝街２６巷７號",29.38,1100909,"公寓(5樓含以下無電梯)","住家用",99.15,4,2,3,0,13500000,136157,0,0,1
"HOUSE_017","房地(土地+建物)","新北市中和區景平路２９３號十一樓",11.73,1100901,"住宅大樓(11層含以上有電梯)","住家用",93.88,2,2,2,1,12200000,129953,8.43,0,0
"HOUSE_018","房地(土地+建物)","新北市中和區中正路７３８號七樓之三",25.71,1100906,"住宅大樓(11層含以上有電梯)","工商用",246.84,0,0,0,1,27500000,111408,0,0,0
"HOUSE_019","房地(土地+建物)","新北市永和區民光街２０巷１０號四樓",30.93,1100904,"公寓(5樓含以下無電梯)","住家用",85.9,3,2,2,0,10660000,124098,15.14,1,0
"HOUSE_020","房地(土地+建物)","新北市永和區成功路一段７９號二樓",38.99,1100901,"公寓(5樓含以下無電梯)","住家用",90.96,3,2,1,0,11200000,123131,0,0,0
"HOUSE_021","房地(土地+建物)","新北市永和區永貞路４１７巷９號三樓",34.35,1100910,"公寓(5樓含以下無電梯)","住家用",126.68,4,2,2,0,17500000,138143,0,0,0
"HOUSE_022","房地(土地+建物)","新北市永和區得和路１０２號五樓之３",10.23,1100903,"住宅大樓(11層含以上有電梯)","住家用",96.01,2,2,1,1,18450000,192167,3.51,0,0
"HOUSE_023","房地(土地+建物)","新北市永和區得和路１０２號五樓之２",13.68,1100909,"住宅大樓(11層含以上有電梯)","住家用",127.75,3,2,2,1,25000000,195695,6.96,0,0
"HOUSE_024","房地(土地+建物)","新北市中和區宜安路３８號九樓之８",14.73,1100909,"住宅大樓(11層含以上有電梯)","住家用",100.16,2,1,2,1,17877000,178484,3.86,0,0
"HOUSE_025","房地(土地+建物)","新北市中和區南山路８１巷２８號",36.35,1100916,"公寓(5樓含以下無電梯)","住家用",119.61,3,2,1,0,17500000,146309,0,0,1
"HOUSE_026","房地(土地+建物)","新北市中和區華新街１３１號",16.52,1100910,"公寓(5樓含以下無電梯)","住家用",47.09,1,2,1,0,12000000,254831,0,0,1
"HOUSE_027","房地(土地+建物)","新北市中和區員山路６１１巷２弄１９號二樓",8.98,1100914,"公寓(5樓含以下無電梯)","住家用",38.5,1,2,1,0,4000000,103896,0,0,0
"HOUSE_028","房地(土地+建物)","新北市永和區信義路４３巷２３號",22.28,1100911,"公寓(5樓含以下無電梯)","住家用",74.32,3,2,1,0,12000000,161464,0,0,1
"HOUSE_029","房地(土地+建物)","新北市中和區民享街３０巷８弄２號四樓",25.92,1100918,"公寓(5樓含以下無電梯)","住家用",93.72,3,2,2,0,9370000,99979,0,1,0
"HOUSE_030","房地(土地+建物)","新北市永和區林森路６９號二樓",21.5,1100911,"華廈(10層含以下有電梯)","住家用",89.36,4,2,3,1,10000000,111907,0,0,0
"HOUSE_031","房地(土地+建物)","新北市永和區安樂路２４８之２號三樓",17.68,1100916,"住宅大樓(11層含以上有電梯)","住家用",123.36,4,2,2,1,23500000,190499,10.96,0,0
"HOUSE_032","房地(土地+建物)","新北市永和區光復街２巷１８號四樓",47,1100905,"公寓(5樓含以下無電梯)","住家用",107.86,5,2,2,0,12290000,113944,0,1,0
"HOUSE_033","房地(土地+建物)","新北市中和區員山路３９４巷１２弄１２號三樓",44.2,1100903,"公寓(5樓含以下無電梯)","住家用",106.92,3,2,2,0,11600000,108492,11.7,0,0
"HOUSE_034","房地(土地+建物)","新北市永和區保平路１１１巷５號二樓",4.64,1100924,"華廈(10層含以下有電梯)","住家用",34.55,0,0,0,0,5500000,159190,1.56,0,0
"HOUSE_035","房地(土地+建物)","新北市中和區景平路３５７號三樓",16.67,1100901,"公寓(5樓含以下無電梯)","住家用",72.7,2,2,1,0,10380000,142779,4.38,0,0
"HOUSE_036","房地(土地+建物)","新北市中和區員山路６１１巷２弄３４號五樓",6.14,1100914,"公寓(5樓含以下無電梯)","住家用",29.5,2,1,1,0,3220000,109153,0,0,0
"HOUSE_037","房地(土地+建物)","新北市永和區自由街６４號四樓之九",3.33,1100914,"住宅大樓(11層含以上有電梯)","商業用",32.68,1,1,1,1,5100000,156059,4.53,1,0
"HOUSE_038","房地(土地+建物)","新北市中和區景平路５２６號三樓",14.29,1100903,"公寓(5樓含以下無電梯)","住家用",51,2,1,2,1,8000000,156863,0,0,0
"HOUSE_039","房地(土地+建物)","新北市永和區忠孝街３４巷１２弄６號五樓",32.6,1100916,"公寓(5樓含以下無電梯)","住家用",111.13,4,1,4,0,14050000,126429,10.38,0,0
"HOUSE_040","房地(土地+建物)","新北市永和區豫溪街１８９巷８號八樓",7.74,1100901,"住宅大樓(11層含以上有電梯)","住家用",52.99,2,1,1,1,8700000,164182,4.44,0,0
"HOUSE_041","房地(土地+建物)","新北市中和區自強路１５巷１６號三樓",22.28,1100916,"公寓(5樓含以下無電梯)","住家用",88.55,3,2,2,0,10350000,116883,11.34,0,0
"HOUSE_042","房地(土地+建物)","新北市中和區景平路２３９巷３號三樓之二",4.61,1100925,"住宅大樓(11層含以上有電梯)","住家用",32.82,1,1,1,1,5350000,163010,3.41,0,0
"HOUSE_043","房地(土地+建物)","新北市中和區新生街１６巷３２號三樓",18.53,1100904,"公寓(5樓含以下無電梯)","住家用",82.61,3,2,1,0,9300000,112577,7.3,0,0
"HOUSE_044","房地(土地+建物)","新北市中和區員山路１０２巷６號二樓",30.35,1100922,"公寓(5樓含以下無電梯)","住家用",87.85,3,2,2,0,9500000,108139,8.67,0,0
"HOUSE_045","房地(土地+建物)","新北市中和區新生街１５６巷１號",23.98,1100922,"公寓(5樓含以下無電梯)","住家用",66.82,3,1,1,0,10500000,157139,0,0,1
"HOUSE_046","房地(土地+建物)","新北市永和區中正路５８８號六樓之六",3.32,1100909,"華廈(10層含以下有電梯)","住家用",35.13,1,1,1,1,5400000,153715,0,0,0
"HOUSE_047","房地(土地+建物)","新北市永和區得和路１０２號八樓之１",13.46,1100911,"住宅大樓(11層含以上有電梯)","住家用",125.93,3,2,2,1,25380000,201541,7.04,0,0
"HOUSE_048","房地(土地+建物)","新北市中和區國光街１１２巷２弄７號三樓",33.77,1100910,"公寓(5樓含以下無電梯)","住家用",110.57,3,2,1,0,10000000,90440,0,0,0
"HOUSE_049","房地(土地+建物)","新北市中和區景新街２９５巷１２號二樓",48.03,1100901,"公寓(5樓含以下無電梯)","住家用",105.78,4,1,2,0,11000000,103989,0,0,0
"HOUSE_050","房地(土地+建物)","新北市中和區景新街２７７巷１２號",48.03,1100901,"公寓(5樓含以下無電梯)","住家用",105.78,1,1,1,0,20000000,189072,0,0,1
"HOUSE_051","房地(土地+建物)","新北市中和區中山路三段３７巷８號三樓",12.12,1100915,"住宅大樓(11層含以上有電梯)","辦公用",123.41,3,2,2,1,15680000,127056,12.94,0,0
"HOUSE_052","房地(土地+建物)","新北市中和區圓通路３６９巷５弄１３號五樓",14.14,1100911,"公寓(5樓含以下無電梯)","住家用",46.99,3,1,2,0,4300000,91509,4.84,0,0
