"Year","StationName","Patronage"
1996,"七張",NA
1997,"七張",NA
1998,"七張",NA
1999,"七張",754800
2000,"七張",6747629
2001,"七張",7091061
2002,"七張",7504955
2003,"七張",7251483
2004,"七張",7895892
2005,"七張",7889215
2006,"七張",7991720
2007,"七張",8061906
2008,"七張",8798641
2009,"七張",8857205
2010,"七張",9051501
2011,"七張",9490300
2012,"七張",9570290
2013,"七張",9792315
2014,"七張",10175274
2015,"七張",10731461
2016,"七張",11201768
2017,"七張",11403080
2018,"七張",11655383
2019,"七張",12098014
2020,"七張",10990526
2021,"七張",8287376
1996,"十四張",NA
1997,"十四張",NA
1998,"十四張",NA
1999,"十四張",NA
2000,"十四張",NA
2001,"十四張",NA
2002,"十四張",NA
2003,"十四張",NA
2004,"十四張",NA
2005,"十四張",NA
2006,"十四張",NA
2007,"十四張",NA
2008,"十四張",NA
2009,"十四張",NA
2010,"十四張",NA
2011,"十四張",NA
2012,"十四張",NA
2013,"十四張",NA
2014,"十四張",NA
2015,"十四張",NA
2016,"十四張",NA
2017,"十四張",NA
2018,"十四張",NA
2019,"十四張",NA
2020,"十四張",606890
2021,"十四張",698829
1996,"三民高中",NA
1997,"三民高中",NA
1998,"三民高中",NA
1999,"三民高中",NA
2000,"三民高中",NA
2001,"三民高中",NA
2002,"三民高中",NA
2003,"三民高中",NA
2004,"三民高中",NA
2005,"三民高中",NA
2006,"三民高中",NA
2007,"三民高中",NA
2008,"三民高中",NA
2009,"三民高中",NA
2010,"三民高中",1295420
2011,"三民高中",5937052
2012,"三民高中",6817133
2013,"三民高中",7392497
2014,"三民高中",7880583
2015,"三民高中",8259119
2016,"三民高中",8500448
2017,"三民高中",8663815
2018,"三民高中",8693301
2019,"三民高中",8730545
2020,"三民高中",7946114
2021,"三民高中",6263955
1996,"三和國中",NA
1997,"三和國中",NA
1998,"三和國中",NA
1999,"三和國中",NA
2000,"三和國中",NA
2001,"三和國中",NA
2002,"三和國中",NA
2003,"三和國中",NA
2004,"三和國中",NA
2005,"三和國中",NA
2006,"三和國中",NA
2007,"三和國中",NA
2008,"三和國中",NA
2009,"三和國中",NA
2010,"三和國中",1056242
2011,"三和國中",5600382
2012,"三和國中",6426647
2013,"三和國中",6881413
2014,"三和國中",7427545
2015,"三和國中",7905875
2016,"三和國中",8188856
2017,"三和國中",8320839
2018,"三和國中",8535702
2019,"三和國中",8833694
2020,"三和國中",8114143
2021,"三和國中",6389159
1996,"三重",NA
1997,"三重",NA
1998,"三重",NA
1999,"三重",NA
2000,"三重",NA
2001,"三重",NA
2002,"三重",NA
2003,"三重",NA
2004,"三重",NA
2005,"三重",NA
2006,"三重",NA
2007,"三重",NA
2008,"三重",NA
2009,"三重",NA
2010,"三重",NA
2011,"三重",NA
2012,"三重",1809704
2013,"三重",2201344
2014,"三重",2502599
2015,"三重",2884325
2016,"三重",3192933
2017,"三重",4160828
2018,"三重",4514421
2019,"三重",5078878
2020,"三重",4476952
2021,"三重",3555754
1996,"三重國小",NA
1997,"三重國小",NA
1998,"三重國小",NA
1999,"三重國小",NA
2000,"三重國小",NA
2001,"三重國小",NA
2002,"三重國小",NA
2003,"三重國小",NA
2004,"三重國小",NA
2005,"三重國小",NA
2006,"三重國小",NA
2007,"三重國小",NA
2008,"三重國小",NA
2009,"三重國小",NA
2010,"三重國小",1196138
2011,"三重國小",6029948
2012,"三重國小",6427316
2013,"三重國小",6909546
2014,"三重國小",7453702
2015,"三重國小",7933521
2016,"三重國小",8244293
2017,"三重國小",8309215
2018,"三重國小",8468991
2019,"三重國小",8610054
2020,"三重國小",7839887
2021,"三重國小",6181679
1996,"土城",NA
1997,"土城",NA
1998,"土城",NA
1999,"土城",NA
2000,"土城",NA
2001,"土城",NA
2002,"土城",NA
2003,"土城",NA
2004,"土城",NA
2005,"土城",NA
2006,"土城",1753824
2007,"土城",3286008
2008,"土城",3685052
2009,"土城",3836019
2010,"土城",4045395
2011,"土城",4269749
2012,"土城",4462875
2013,"土城",4554888
2014,"土城",4665687
2015,"土城",4787593
2016,"土城",4868736
2017,"土城",4937135
2018,"土城",5128694
2019,"土城",5307816
2020,"土城",5042392
2021,"土城",4077059
1996,"士林",NA
1997,"士林",1598329
1998,"士林",4746703
1999,"士林",9036298
2000,"士林",14262046
2001,"士林",14156845
2002,"士林",14515917
2003,"士林",13673130
2004,"士林",14752833
2005,"士林",14783547
2006,"士林",15255680
2007,"士林",16478437
2008,"士林",17421919
2009,"士林",17642033
2010,"士林",18000569
2011,"士林",19142510
2012,"士林",19090401
2013,"士林",19446691
2014,"士林",20540128
2015,"士林",21088402
2016,"士林",20950018
2017,"士林",20606015
2018,"士林",21089159
2019,"士林",21584199
2020,"士林",18044833
2021,"士林",14066094
1996,"大安",NA
1997,"大安",NA
1998,"大安",NA
1999,"大安",NA
2000,"大安",NA
2001,"大安",NA
2002,"大安",NA
2003,"大安",NA
2004,"大安",NA
2005,"大安",NA
2006,"大安",NA
2007,"大安",NA
2008,"大安",NA
2009,"大安",NA
2010,"大安",NA
2011,"大安",NA
2012,"大安",NA
2013,"大安",10362376
2014,"大安",13657836
2015,"大安",14909140
2016,"大安",15847580
2017,"大安",16464856
2018,"大安",17263833
2019,"大安",17755083
2020,"大安",15803667
2021,"大安",11923514
1996,"大安森林公園",NA
1997,"大安森林公園",NA
1998,"大安森林公園",NA
1999,"大安森林公園",NA
2000,"大安森林公園",NA
2001,"大安森林公園",NA
2002,"大安森林公園",NA
2003,"大安森林公園",NA
2004,"大安森林公園",NA
2005,"大安森林公園",NA
2006,"大安森林公園",NA
2007,"大安森林公園",NA
2008,"大安森林公園",NA
2009,"大安森林公園",NA
2010,"大安森林公園",NA
2011,"大安森林公園",NA
2012,"大安森林公園",NA
2013,"大安森林公園",1075853
2014,"大安森林公園",4654357
2015,"大安森林公園",5425569
2016,"大安森林公園",5848608
2017,"大安森林公園",6259022
2018,"大安森林公園",6454575
2019,"大安森林公園",6570923
2020,"大安森林公園",5772835
2021,"大安森林公園",4658463
1996,"大坪林",NA
1997,"大坪林",NA
1998,"大坪林",NA
1999,"大坪林",724764
2000,"大坪林",6741660
2001,"大坪林",7281125
2002,"大坪林",8003747
2003,"大坪林",8232632
2004,"大坪林",9198552
2005,"大坪林",9618767
2006,"大坪林",10384604
2007,"大坪林",10758240
2008,"大坪林",11270662
2009,"大坪林",11208040
2010,"大坪林",11671672
2011,"大坪林",12048547
2012,"大坪林",12309955
2013,"大坪林",12699349
2014,"大坪林",13319540
2015,"大坪林",13769871
2016,"大坪林",14081891
2017,"大坪林",14318615
2018,"大坪林",14718661
2019,"大坪林",14958358
2020,"大坪林",13242002
2021,"大坪林",9961324
1996,"大坪林Y",NA
1997,"大坪林Y",NA
1998,"大坪林Y",NA
1999,"大坪林Y",NA
2000,"大坪林Y",NA
2001,"大坪林Y",NA
2002,"大坪林Y",NA
2003,"大坪林Y",NA
2004,"大坪林Y",NA
2005,"大坪林Y",NA
2006,"大坪林Y",NA
2007,"大坪林Y",NA
2008,"大坪林Y",NA
2009,"大坪林Y",NA
2010,"大坪林Y",NA
2011,"大坪林Y",NA
2012,"大坪林Y",NA
2013,"大坪林Y",NA
2014,"大坪林Y",NA
2015,"大坪林Y",NA
2016,"大坪林Y",NA
2017,"大坪林Y",NA
2018,"大坪林Y",NA
2019,"大坪林Y",NA
2020,"大坪林Y",2086901
2021,"大坪林Y",1871783
1996,"大直",NA
1997,"大直",NA
1998,"大直",NA
1999,"大直",NA
2000,"大直",NA
2001,"大直",NA
2002,"大直",NA
2003,"大直",NA
2004,"大直",NA
2005,"大直",NA
2006,"大直",NA
2007,"大直",NA
2008,"大直",NA
2009,"大直",1762851
2010,"大直",4286347
2011,"大直",5035091
2012,"大直",5303717
2013,"大直",5568361
2014,"大直",5828299
2015,"大直",6537600
2016,"大直",6598126
2017,"大直",6529649
2018,"大直",6685158
2019,"大直",6710380
2020,"大直",5932354
2021,"大直",4484406
1996,"大湖公園",NA
1997,"大湖公園",NA
1998,"大湖公園",NA
1999,"大湖公園",NA
2000,"大湖公園",NA
2001,"大湖公園",NA
2002,"大湖公園",NA
2003,"大湖公園",NA
2004,"大湖公園",NA
2005,"大湖公園",NA
2006,"大湖公園",NA
2007,"大湖公園",NA
2008,"大湖公園",NA
2009,"大湖公園",703963
2010,"大湖公園",1462593
2011,"大湖公園",1729752
2012,"大湖公園",1842404
2013,"大湖公園",1900160
2014,"大湖公園",2147730
2015,"大湖公園",2389788
2016,"大湖公園",2442955
2017,"大湖公園",2376102
2018,"大湖公園",2434815
2019,"大湖公園",2513740
2020,"大湖公園",2314576
2021,"大湖公園",1865954
1996,"大橋頭",NA
1997,"大橋頭",NA
1998,"大橋頭",NA
1999,"大橋頭",NA
2000,"大橋頭",NA
2001,"大橋頭",NA
2002,"大橋頭",NA
2003,"大橋頭",NA
2004,"大橋頭",NA
