VILLCODE,site_id,village,household_no,people_total
65000010001,新北市板橋區,留侯里,690,1665
65000010002,新北市板橋區,流芳里,629,1480
65000010003,新北市板橋區,赤松里,481,1036
65000010004,新北市板橋區,黃石里,532,1294
65000010005,新北市板橋區,挹秀里,873,2006
65000010006,新北市板橋區,湳興里,2270,5288
65000010007,新北市板橋區,新興里,1561,3245
65000010008,新北市板橋區,社後里,5635,9875
65000010009,新北市板橋區,香社里,1789,4543
65000010010,新北市板橋區,中正里,2452,5775
65000010011,新北市板橋區,自強里,2073,5190
65000010012,新北市板橋區,自立里,1100,2773
65000010013,新北市板橋區,光華里,1138,2722
65000010014,新北市板橋區,國光里,1550,3706
65000010015,新北市板橋區,港尾里,1116,2979
65000010016,新北市板橋區,金華里,1496,4059
65000010017,新北市板橋區,港德里,1913,4758
65000010018,新北市板橋區,民權里,1088,2640
65000010019,新北市板橋區,建國里,1432,3589
65000010020,新北市板橋區,漢生里,1695,4355
65000010021,新北市板橋區,公舘里,1524,3998
65000010022,新北市板橋區,新民里,1741,4547
65000010023,新北市板橋區,幸福里,1576,4071
65000010024,新北市板橋區,忠誠里,1768,4371
65000010025,新北市板橋區,百壽里,1241,2993
65000010026,新北市板橋區,介壽里,1276,3187
65000010027,新北市板橋區,新埔里,887,2109
65000010028,新北市板橋區,華江里,3280,7932
65000010029,新北市板橋區,江翠里,2124,5254
65000010030,新北市板橋區,純翠里,2143,5562
65000010031,新北市板橋區,溪頭里,3118,7047
65000010032,新北市板橋區,聯翠里,1675,3764
65000010033,新北市板橋區,宏翠里,2547,5570
65000010034,新北市板橋區,仁翠里,1110,2899
65000010035,新北市板橋區,新翠里,3299,8351
65000010036,新北市板橋區,吉翠里,1407,3828
65000010037,新北市板橋區,德翠里,2735,7407
65000010038,新北市板橋區,滿翠里,1161,3035
65000010039,新北市板橋區,明翠里,1974,4817
65000010040,新北市板橋區,松翠里,1428,3412
65000010041,新北市板橋區,柏翠里,2203,4879
65000010042,新北市板橋區,龍翠里,2010,5025
65000010043,新北市板橋區,華翠里,1382,3637
65000010044,新北市板橋區,忠翠里,4540,10953
65000010045,新北市板橋區,嵐翠里,974,2467
65000010046,新北市板橋區,文翠里,1550,3979
65000010047,新北市板橋區,青翠里,1202,3005
65000010048,新北市板橋區,懷翠里,2268,6219
65000010049,新北市板橋區,福翠里,576,1397
65000010050,新北市板橋區,港嘴里,2414,6049
65000010051,新北市板橋區,振興里,1694,4407
65000010052,新北市板橋區,振義里,1658,4252
65000010053,新北市板橋區,光復里,1373,3407
65000010054,新北市板橋區,埔墘里,2612,6333
65000010055,新北市板橋區,長壽里,1107,2961
65000010056,新北市板橋區,福壽里,1303,3309
65000010057,新北市板橋區,海山里,2813,8252
65000010058,新北市板橋區,九如里,1109,2946
65000010059,新北市板橋區,玉光里,2250,5643
65000010060,新北市板橋區,光仁里,1029,2955
65000010061,新北市板橋區,埤墘里,1836,4790
65000010062,新北市板橋區,永安里,1460,3797
65000010063,新北市板橋區,雙玉里,1607,4393
65000010064,新北市板橋區,廣新里,1294,3707
65000010065,新北市板橋區,深丘里,3748,9275
65000010066,新北市板橋區,香丘里,1554,4057
65000010067,新北市板橋區,西安里,1075,2832
65000010068,新北市板橋區,東丘里,1679,4727
65000010069,新北市板橋區,長安里,1737,4910
65000010070,新北市板橋區,福丘里,2288,5148
65000010071,新北市板橋區,福祿里,1643,4128
65000010072,新北市板橋區,民族里,1933,5326
65000010073,新北市板橋區,國泰里,1471,3793
65000010074,新北市板橋區,福德里,1971,5116
65000010075,新北市板橋區,景星里,1566,3470
65000010076,新北市板橋區,福星里,1365,3565
65000010077,新北市板橋區,鄉雲里,1679,3836
65000010078,新北市板橋區,廣德里,2625,6956
