"trnOpDate","staCode","gateInComingCnt","gateOutGoingCnt"
"20201101","0900",8063,7635
"20201101","0910",1054,1053
"20201101","0920",1732,1775
"20201101","0930",4225,4300
"20201101","0940",1938,1901
"20201101","0950",1434,1331
"20201101","0960",7683,7936
"20201101","0970",4587,4900
"20201101","0980",9541,9871
"20201101","0990",11254,12500
"20201101","1000",53690,57501
"20201101","1010",3508,3536
"20201101","1020",22500,24333
"20201101","1030",2232,2319
"20201101","1040",13336,14128
"20201101","1050",1109,1012
"20201101","1060",1538,1474
"20201101","1070",7918,7756
"20201101","1080",28692,29088
"20201101","1090",8232,8805
"20201101","1100",29142,30736
"20201101","1110",4994,4873
"20201101","1120",5138,5116
"20201101","1130",1893,1732
"20201101","1140",74,82
"20201101","1150",554,738
"20201101","1160",3706,3844
"20201101","1170",5679,6648
"20201101","1180",5173,4682
"20201101","1190",1490,1840
"20201101","1191",437,432
"20201101","1192",1317,2281
"20201101","1193",636,882
"20201101","1194",3732,2322
"20201101","1201",70,75
"20201101","1202",141,144
"20201101","1203",638,539
"20201101","1204",105,109
"20201101","1205",35,28
"20201101","1206",172,193
"20201101","1207",14,23
"20201101","1208",1116,1035
"20201101","1210",22291,24317
"20201101","1220",965,1290
"20201101","1230",606,538
"20201101","1240",235,323
"20201101","1250",8836,8204
"20201101","2110",42,40
"20201101","2120",141,95
"20201101","2130",995,2009
"20201101","2140",18,19
"20201101","2150",627,575
"20201101","2160",70,58
"20201101","2170",1025,761
"20201101","2180",1865,1329
"20201101","2190",341,306
"20201101","2200",4172,2997
"20201101","2210",80,63
"20201101","2220",1577,1071
"20201101","2230",3486,3921
"20201101","2240",497,417
"20201101","2250",748,601
"20201101","2260",655,241
"20201101","3140",310,244
"20201101","3150",1022,936
"20201101","3160",6374,5805
"20201101","3170",82,124
"20201101","3180",1239,915
"20201101","3190",931,698
"20201101","3210",737,710
"20201101","3220",2419,2438
"20201101","3230",11035,9823
"20201101","3240",800,745
"20201101","3250",3067,2943
"20201101","3260",594,524
"20201101","3270",1385,1338
"20201101","3280",3425,3613
"20201101","3290",1458,1672
"20201101","3300",31764,34733
"20201101","3310",1501,1688
"20201101","3320",2378,2830
"20201101","3330",1072,1012
"20201101","3340",8691,9648
"20201101","3350",578,1538
"20201101","3360",18333,16323
"20201101","3370",1639,1364
"20201101","3380",1200,1065
"20201101","3390",10113,8284
"20201101","3400",734,523
"20201101","3410",1398,1011
"20201101","3420",3771,2320
"20201101","3430",2131,1663
"20201101","3431",92,94
"20201101","3432",214,172
"20201101","3433",29,41
"20201101","3434",831,747
"20201101","3435",313,243
"20201101","3436",938,971
"20201101","3450",1137,821
"20201101","3460",259,253
"20201101","3470",7826,7904
"20201101","3480",3321,2407
"20201101","3490",180,177
"20201101","4050",1656,2000
"20201101","4060",2121,2877
"20201101","4070",748,711
"20201101","4080",13739,11463
"20201101","4090",1135,874
"20201101","4100",287,192
"20201101","4110",663,490
"20201101","4120",6139,5291
"20201101","4130",596,1097
"20201101","4140",625,462
"20201101","4150",1354,1695
"20201101","4160",137,165
"20201101","4170",3356,3524
"20201101","4180",736,1035
"20201101","4190",2443,2839
"20201101","4200",3303,4140
"20201101","4210",2650,4436
"20201101","4220",30318,29091
"20201101","4250",1419,2186
"20201101","4260",925,990
"20201101","4270",380,486
"20201101","4271",458,1076
"20201101","4272",3263,3676
"20201101","4290",1136,1713
"20201101","4300",1538,1647
"20201101","4310",3134,3445
"20201101","4320",1318,1549
"20201101","4330",2516,2944
"20201101","4340",12858,13812
"20201101","4350",603,590
"20201101","4360",611,626
"20201101","4370",868,849
"20201101","4380",212,247
"20201101","4390",340,322
"20201101","4400",17203,16443
"20201101","4410",540,553
"20201101","4420",1050,1100
"20201101","4430",1009,981
"20201101","4440",5737,6486
"20201101","4450",684,676
"20201101","4460",1173,1145
"20201101","4470",104,123
"20201101","5000",11607,11602
"20201101","5010",202,223
"20201101","5020",150,140
"20201101","5030",766,641
"20201101","5040",364,340
"20201101","5050",4676,3670
"20201101","5060",48,54
"20201101","5070",539,659
"20201101","5080",17,14
"20201101","5090",511,352
"20201101","5100",135,101
"20201101","5110",65,70
"20201101","5120",1611,1224
"20201101","5130",39,2
"20201101","5160",4,3
"20201101","5190",249,253
"20201101","5200",35,13
"20201101","5210",827,579
"20201101","5220",239,205
"20201101","5230",858,971
"20201101","5240",9,22
"20201101","6000",8341,6920
"20201101","6010",2,5
"20201101","6020",262,204
"20201101","6030",44,27
"20201101","6040",5,4
"20201101","6050",995,545
"20201101","6060",2,7
"20201101","6070",1564,1025
"20201101","6080",937,578
"20201101","6090",9,12
"20201101","6100",18,13
"20201101","6110",2112,1571
"20201101","6120",24,16
"20201101","6130",1099,509
"20201101","6140",51,25
"20201101","6150",9,3
"20201101","6160",501,360
"20201101","6170",36,28
"20201101","6180",466,304
"20201101","6190",16,11
"20201101","6200",59,24
"20201101","6210",38,31
"20201101","6220",273,292
"20201101","6230",12,5
"20201101","6240",267,750
"20201101","6250",465,483
"20201101","7000",18022,14967
"20201101","7010",84,80
"20201101","7020",1,3
"20201101","7030",647,293
"20201101","7040",14,19
"20201101","7050",38,26
"20201101","7060",185,189
"20201101","7070",4,4
"20201101","7080",6,7
"20201101","7090",695,591
"20201101","7100",139,123
"20201101","7110",5,5
"20201101","7120",445,405
"20201101","7130",601,635
"20201101","7140",11,21
"20201101","7150",485,530
"20201101","7160",5680,4944
"20201101","7170",0,2
"20201101","7180",119,108
"20201101","7190",4930,4801
"20201101","7200",111,99
"20201101","7210",2305,1815
"20201101","7220",77,77
"20201101","7230",1119,938
"20201101","7240",187,108
"20201101","7250",82,66
"20201101","7260",382,375
"20201101","7270",1180,391
"20201101","7280",66,32
"20201101","7290",1498,1840
"20201101","7300",207,400
"20201101","7310",796,793
"20201101","7320",174,274
"20201101","7330",325,447
"20201101","7331",75,18
"20201101","7332",1059,736
"20201101","7333",85,114
"20201101","7334",78,59
"20201101","7335",466,611
"20201101","7336",573,621
"20201101","7350",891,999
"20201101","7360",4652,4682
"20201101","7361",150,204
"20201101","7362",469,455
"20201101","7380",478,440
"20201101","7390",312,339
"20201102","0900",7130,6882
"20201102","0910",1403,1426
"20201102","0920",2436,2178
"20201102","0930",6405,6539
"20201102","0940",2797,2817
"20201102","0950",2207,1897
"20201102","0960",10278,10958
"20201102","0970",11140,11189
"20201102","0980",11720,12363
"20201102","0990",16686,16156
"20201102","1000",51617,54254
"20201102","1010",4530,4574
"20201102","1020",20304,20683
"20201102","1030",3058,3058
"20201102","1040",14243,14513
"20201102","1050",1188,1122
"20201102","1060",1550,1616
"20201102","1070",8620,8563
"20201102","1080",25574,25558
"20201102","1090",9691,9498
"20201102","1100",22239,23286
"20201102","1110",6240,5948
"20201102","1120",5253,4849
"20201102","1130",1802,1770
"20201102","1140",73,73
"20201102","1150",821,923
"20201102","1160",3588,3643
"20201102","1170",5180,5354
"20201102","1180",5253,5026
"20201102","1190",2326,2497
"20201102","1191",268,321
"20201102","1192",1591,1826
"20201102","1193",582,625
"20201102","1194",2685,2502
"20201102","1201",51,38
"20201102","1202",134,117
"20201102","1203",361,348
"20201102","1204",85,87
"20201102","1205",36,35
"20201102","1206",49,32
"20201102","1207",5,4
"20201102","1208",160,182
"20201102","1210",16008,16468
"20201102","1220",1194,1145
"20201102","1230",630,590
"20201102","1240",235,242
"20201102","1250",7973,8142
"20201102","2110",36,35
"20201102","2120",117,115
"20201102","2130",1239,1280
"20201102","2140",14,27
"20201102","2150",302,282
"20201102","2160",42,40
"20201102","2170",766,751
"20201102","2180",1570,1386
"20201102","2190",236,234
"20201102","2200",2155,1910
"20201102","2210",89,82
"20201102","2220",1050,907
"20201102","2230",1946,2031
"20201102","2240",354,305
"20201102","2250",598,565
"20201102","2260",183,170
"20201102","3140",308,316
"20201102","3150",701,770
"20201102","3160",5829,5603
"20201102","3170",96,109
"20201102","3180",769,740
"20201102","3190",677,649
