StationName,st_in,st_out
松山機場,122017,122060
中山國中,443085,440736
南京復興,1192150,1265881
忠孝復興,1401326,1401535
大安,780777,781744
科技大樓,476506,460727
六張犁,362935,356856
麟光,135251,124702
辛亥,103109,94691
萬芳醫院,404848,425354
萬芳社區,78456,63532
木柵,136622,142422
動物園,179334,177549
大直,307495,307655
劍南路,377972,382487
西湖,491426,498336
港墘,499377,484862
文德,181358,175166
內湖,304107,301546
大湖公園,108279,103253
葫洲,264692,264741
東湖,263446,266814
南港軟體園區,190514,178320
南港展覽館,970710,917018
小碧潭,115128,119255
新店,410167,356504
新店區公所,364659,391338
七張,533136,525657
大坪林,759159,736678
景美,548649,550128
萬隆,329009,316915
公館,956277,925664
台電大樓,566417,559760
古亭,1037234,1032370
中正紀念堂,794946,771711
小南門,313663,317557
頂溪,1114509,1150125
永安市場,803447,818078
景安,827083,805930
南勢角,657057,627854
台大醫院,657276,686341
台北車站,4484768,4437399
中山,1396124,1431361
雙連,613643,667332
民權西路,730833,711154
圓山,876070,896688
劍潭,868288,844396
士林,922817,903950
芝山,738123,733237
明德,397014,382339
石牌,929184,953636
唭哩岸,228343,212352
奇岩,275809,239125
北投,563254,599707
新北投,198774,188002
復興崗,114940,113192
忠義,93320,95848
關渡,399243,405387
竹圍,281957,295346
紅樹林,346263,385934
淡水,1084056,986060
頂埔,289387,271237
永寧,409169,427973
土城,245599,242989
海山,688745,697816
亞東醫院,772727,705147
府中,1045334,943170
板橋,1947740,2074412
新埔,1271662,1234704
江子翠,802697,824765
龍山寺,913761,880863
西門,2034439,2052488
善導寺,695252,718752
忠孝新生,1010519,1003832
忠孝敦化,1080615,1140829
國父紀念館,659188,705141
市政府,2151795,2197030
永春,642357,648846
後山埤,518507,518087
昆陽,437585,454616
南港,647514,668617
象山,439017,402161
台北101/世貿,931451,952441
信義安和,570725,605113
大安森林公園,275495,262433
北門,362626,364326
松江南京,1078013,1117369
台北小巨蛋,718074,743262
南京三民,699944,721899
松山,694973,681792
輔大,415589,433605
新莊,337224,353514
頭前庄,192695,181129
先嗇宮,148706,145664
三重,209911,211388
菜寮,321327,319426
台北橋,308690,315834
大橋頭,442750,378370
中山國小,526963,529817
行天宮,846023,870715
東門,723597,743751
蘆洲,458279,421544
三民高中,374512,381471
徐匯中學,387083,406546
三和國中,399578,383776
三重國小,367338,372132
迴龍,359638,334541
丹鳳,323250,293054
十四張,41460,35319
秀朗橋,79555,82948
景平,109034,121753
中和,150586,154167
橋和,62065,62738
中原,88531,87861
板新,84235,85001
新埔民生,68758,76819
幸福,111764,121262
新北產業園區,131980,133910
